Constituency,State,Status,Candidate,Party
Agiaon (195),Bihar,WON,SHIV PRAKASH RANJAN,Communist Party of India  (Marxist-Leninist)  (Liberation)
Vijapur (26),Gujarat,WON,DR. C. J. CHAVDA,Bharatiya Janata Party
Porbandar (83),Gujarat,WON,ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party
Manavadar (85),Gujarat,WON,ARVINDBHAI JINABHAI LADANI,Bharatiya Janata Party
Khambhat (108),Gujarat,WON,CHIRAGKUMAR ARVINDBHAI PATEL,Bharatiya Janata Party
Vaghodia (136),Gujarat,WON,DHARMENDRASINH VAGHELA (BAPU),Bharatiya Janata Party
KARNAL (21),Haryana,WON,NAYAB SINGH,Bharatiya Janata Party
DHARAMSHALA (18),Himachal Pradesh,WON,SUDHIR SHARMA,Bharatiya Janata Party
LAHAUL & SPITI (21),Himachal Pradesh,WON,ANURADHA RANA,Indian National Congress
SUJANPUR (37),Himachal Pradesh,WON,CAPTAIN RANJIT SINGH,Indian National Congress
BARSAR (39),Himachal Pradesh,WON,INDER DUTT LAKHANPAL,Bharatiya Janata Party
GAGRET (42),Himachal Pradesh,WON,RAKESH KALIA,Indian National Congress
KUTLEHAR (45),Himachal Pradesh,WON,VIVEK SHARMA (VICKU),Indian National Congress
Gandey (31),Jharkhand,WON,KALPANA MURMU SOREN,Jharkhand Mukti Morcha
Shorapur (36),Karnataka,WON,RAJA VENUGOPAL NAIK,Indian National Congress
BAGIDORA  (165),Rajasthan,WON,JAIKRISHN PATEL,Bharat Adivasi Party
Vilavancode (233),Tamil Nadu,WON,THARAHAI CUTHBERT,Indian National Congress
Secunderabad Cantt (71),Telangana,WON,SRIGANESH,Indian National Congress
Ramnagar (7),Tripura,WON,DIPAK MAJUMDER,Bharatiya Janata Party
Dadraul (136),Uttar Pradesh,WON,ARVIND KUMAR SINGH,Bharatiya Janata Party
Lucknow East (173),Uttar Pradesh,WON,O. P. SRIVASTAVA,Bharatiya Janata Party
Gainsari (292),Uttar Pradesh,WON,RAKESH KUMAR YADAV,Samajwadi Party
Duddhi  (403),Uttar Pradesh,WON,VIJAY SINGH,Samajwadi Party
Bhagabangola (62),West Bengal,WON,REYAT HOSSAIN SARKAR,All India Trinamool Congress
Baranagar (113),West Bengal,WON,SAYANTIKA BANERJEE,All India Trinamool Congress
